day,group,impressions,clicks,ctr
1,control,1624,209,0.1291
2,control,1690,198,0.1174
3,control,1418,170,0.1201
4,control,1502,188,0.1257
5,control,1401,168,0.1201
6,control,1507,177,0.1175
7,control,1438,167,0.1167
8,control,1506,177,0.1179
9,control,1502,185,0.1234
10,control,1681,194,0.1157
11,control,1542,185,0.12
12,control,1441,176,0.1224
13,control,1505,173,0.1153
14,control,1435,182,0.127
15,control,1677,194,0.116
16,control,1464,182,0.1247
17,control,1481,177,0.1199
18,control,1658,206,0.1246
19,control,1493,179,0.1201
20,control,1559,186,0.1193
21,control,1417,166,0.1174
22,control,1620,200,0.1237
23,control,1668,203,0.1223
24,control,1489,187,0.1259
25,control,1480,187,0.1267
26,control,1608,186,0.1159
27,control,1482,185,0.1255
28,control,1608,198,0.1234
29,control,1552,182,0.1174
30,control,1427,164,0.1151
1,variant,1437,246,0.1719
2,variant,1607,279,0.1738
3,variant,1680,284,0.1695
4,variant,1688,272,0.1617
5,variant,1657,274,0.1654
6,variant,1532,250,0.1634
7,variant,1562,249,0.1596
8,variant,1513,246,0.1627
9,variant,1680,257,0.1531
10,variant,1676,281,0.1682
11,variant,1489,246,0.1656
12,variant,1642,258,0.1572
13,variant,1621,252,0.1559
14,variant,1523,241,0.1584
15,variant,1627,251,0.1543
16,variant,1560,245,0.1576
17,variant,1659,255,0.1539
18,variant,1671,271,0.1624
19,variant,1489,224,0.1505
20,variant,1430,237,0.1659
21,variant,1430,228,0.1595
22,variant,1681,260,0.1551
23,variant,1601,247,0.1546
24,variant,1414,225,0.1598
25,variant,1521,241,0.1588
26,variant,1420,217,0.1529
27,variant,1660,248,0.1498
28,variant,1466,231,0.1582
29,variant,1618,250,0.1546
30,variant,1606,253,0.1578
